Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players
"Spelunky 2,29.3,Adults,27.76,Mobile,No,Capcom,Capcom,2017,Adventure,No,57.0,Medium,Excellent,Good,""Amazing game, but the gameplay is amazing."",Offline,1"
"Street Fighter V,37.4,All Ages,58.01,PlayStation,No,Game Freak,Epic Games,2010,Fighting,Yes,29.2,Medium,Average,Average,""Solid game, but too many bugs."",Offline,5"
"Street Fighter V,28.2,Kids,42.13,PC,Yes,Capcom,Activision,2018,Shooter,Yes,20.6,Ultra,Average,Poor,""Great game, but too many bugs."",Offline,10"
"Fall Guys,43.0,Teens,50.53,Nintendo Switch,Yes,Capcom,Epic Games,2011,Strategy,Yes,55.6,Low,Poor,Poor,""Great game, but too many bugs."",Offline,5"
"The Sims 4,17.6,Teens,21.71,PC,Yes,EA Sports,Activision,2015,Action,Yes,27.5,Medium,Average,Poor,""Solid game, but the gameplay is amazing."",Offline,4"
"Rocket League,28.6,Kids,52.91,PlayStation,No,Epic Games,Valve,2012,Party,No,7.0,Low,Poor,Poor,""Solid game, but the gameplay is amazing."",Offline,2"
"The Elder Scrolls V: Skyrim,32.4,All Ages,32.8,PC,No,Epic Games,Valve,2014,Simulation,No,55.5,Ultra,Poor,Excellent,""Disappointing game, but the gameplay is amazing."",Offline,6"
"Among Us,18.7,Teens,20.81,Mobile,No,Epic Games,Activision,2015,RPG,Yes,23.9,Low,Good,Average,""Disappointing game, but the graphics could be better."",Online,3"
"Fall Guys,29.7,Teens,40.94,Mobile,No,Game Freak,Epic Games,2011,Action,No,25.8,Medium,Average,Average,""Disappointing game, but the gameplay is amazing."",Online,2"
"Stardew Valley,36.5,Kids,48.29,Mobile,Yes,Bungie,Take-Two Interactive,2016,Shooter,No,41.9,Medium,Excellent,Excellent,""Solid game, but the gameplay is amazing."",Online,1"
"Spelunky 2,30.7,All Ages,45.94,PC,Yes,Bungie,Epic Games,2016,Adventure,No,20.9,Medium,Good,Poor,""Great game, but the graphics could be better."",Offline,10"
"Call of Duty: Modern Warfare 2,26.3,All Ages,32.3,PC,No,Game Freak,Innersloth,2023,Strategy,Yes,31.5,Ultra,Poor,Average,""Disappointing game, but the gameplay is amazing."",Offline,3"
"The Legend of Zelda: Breath of the Wild,31.4,Adults,29.05,PlayStation,No,Nintendo,Innersloth,2013,Adventure,No,55.6,Medium,Excellent,Excellent,""Amazing game, but too many bugs."",Offline,5"
"Tekken 7,26.8,Teens,38.03,PC,Yes,Game Freak,Capcom,2022,Simulation,Yes,21.7,Medium,Average,Average,""Solid game, but the gameplay is amazing."",Online,3"
"Pillars of Eternity II: Deadfire,26.2,All Ages,23.59,Xbox,Yes,Capcom,Electronic Arts,2016,Puzzle,Yes,49.4,Low,Good,Average,""Solid game, but too many bugs."",Offline,10"
"Animal Crossing: New Horizons,27.7,Teens,49.11,Xbox,Yes,Bungie,Electronic Arts,2012,Adventure,Yes,15.7,High,Poor,Average,""Solid game, but the gameplay is amazing."",Offline,5"
"Hades,35.8,Kids,39.41,Nintendo Switch,No,Game Freak,Capcom,2018,Sports,Yes,49.5,High,Excellent,Excellent,""Great game, but the graphics could be better."",Online,10"
"Mario Kart 8 Deluxe,37.3,All Ages,42.53,PC,No,Rockstar Games,Epic Games,2016,Simulation,No,54.9,Medium,Good,Average,""Amazing game, but the graphics could be better."",Offline,10"
"Tekken 7,43.1,Adults,52.81,PC,Yes,Nintendo,Innersloth,2015,Strategy,Yes,53.5,Ultra,Poor,Excellent,""Disappointing game, but the graphics could be better."",Offline,4"
"Overwatch 2,31.8,All Ages,54.21,PlayStation,Yes,Capcom,Valve,2014,Shooter,No,16.1,Ultra,Average,Excellent,""Disappointing game, but too many bugs."",Online,4"
"Mario Kart 8 Deluxe,35.3,Kids,43.23,Nintendo Switch,Yes,Innersloth,Innersloth,2023,Adventure,No,51.1,Low,Good,Good,""Great game, but too many bugs."",Offline,10"
"Street Fighter V,31.6,All Ages,45.25,Mobile,Yes,EA Sports,Nintendo,2021,Puzzle,Yes,27.2,High,Poor,Poor,""Disappointing game, but too many bugs."",Online,6"
"Fortnite,32.7,Kids,32.73,Nintendo Switch,Yes,Capcom,Epic Games,2021,Party,No,53.0,High,Average,Good,""Great game, but the graphics could be better."",Online,2"
"Pok̩mon Scarlet & Violet,29.5,All Ages,53.12,PC,No,Epic Games,Take-Two Interactive,2012,Puzzle,No,12.8,Low,Good,Average,""Amazing game, but too many bugs."",Online,8"
"Mario Kart 8 Deluxe,28.7,Kids,27.34,Nintendo Switch,Yes,Rockstar Games,Valve,2017,Adventure,Yes,46.5,Low,Poor,Excellent,""Disappointing game, but too many bugs."",Offline,5"
"Sid Meier�۪s Civilization VI,30.2,All Ages,45.46,PlayStation,No,Bungie,Valve,2020,Adventure,No,26.4,Low,Poor,Poor,""Solid game, but the gameplay is amazing."",Offline,5"
"Overwatch 2,33.0,All Ages,57.97,PlayStation,No,Valve,Nintendo,2017,Fighting,Yes,12.2,High,Average,Good,""Disappointing game, but the gameplay is amazing."",Offline,5"
"Spelunky 2,36.4,Adults,35.69,PlayStation,Yes,Game Freak,Activision,2013,Fighting,Yes,56.9,Ultra,Average,Excellent,""Great game, but too many bugs."",Offline,2"
"The Elder Scrolls V: Skyrim,22.3,Kids,22.57,Mobile,Yes,Valve,Epic Games,2015,Action,Yes,30.9,Ultra,Excellent,Good,""Solid game, but too many bugs."",Online,10"
"Hitman 3,18.9,Teens,24.99,Mobile,No,Bungie,Square Enix,2015,Shooter,Yes,24.0,High,Good,Average,""Solid game, but the gameplay is amazing."",Offline,4"
"Call of Duty: Modern Warfare 2,31.1,Adults,39.4,Nintendo Switch,Yes,EA Sports,Innersloth,2015,Fighting,No,31.7,Medium,Average,Poor,""Great game, but too many bugs."",Online,4"
"Tomb Raider (2013),34.1,Adults,47.59,PC,No,Epic Games,Innersloth,2017,Shooter,Yes,30.8,High,Poor,Poor,""Great game, but the graphics could be better."",Offline,6"
"Half-Life: Alyx,28.7,Teens,25.85,Xbox,No,Game Freak,Take-Two Interactive,2023,Fighting,Yes,48.1,High,Good,Poor,""Great game, but too many bugs."",Online,5"
"Call of Duty: Modern Warfare 2,33.5,Adults,51.48,Xbox,Yes,Rockstar Games,Take-Two Interactive,2013,Simulation,Yes,32.2,High,Poor,Good,""Disappointing game, but the gameplay is amazing."",Online,5"
"Rocket League,32.5,Adults,34.34,PlayStation,Yes,CD Projekt Red,Activision,2023,Action,No,55.8,Low,Average,Average,""Solid game, but the graphics could be better."",Offline,2"
"The Legend of Zelda: Breath of the Wild,39.8,All Ages,53.29,Mobile,No,Innersloth,Square Enix,2014,Puzzle,No,49.3,Medium,Poor,Excellent,""Amazing game, but too many bugs."",Online,5"
"Halo Infinite,30.6,Kids,34.17,Xbox,No,Nintendo,Innersloth,2022,RPG,No,38.6,High,Average,Good,""Solid game, but the gameplay is amazing."",Online,10"
"Stardew Valley,39.2,Kids,49.71,Xbox,Yes,Nintendo,Valve,2012,Puzzle,Yes,42.5,Low,Poor,Good,""Amazing game, but too many bugs."",Online,6"
"Fortnite,38.6,Teens,47.89,Nintendo Switch,No,Bungie,Electronic Arts,2020,Simulation,Yes,53.4,Ultra,Excellent,Average,""Solid game, but the graphics could be better."",Offline,6"
"Spelunky 2,32.7,Teens,48.32,Mobile,Yes,Epic Games,Electronic Arts,2020,Action,Yes,32.7,Ultra,Poor,Excellent,""Amazing game, but too many bugs."",Offline,7"
"Minecraft,29.9,Teens,34.71,Mobile,Yes,Bungie,Electronic Arts,2011,Party,No,42.3,High,Excellent,Average,""Solid game, but too many bugs."",Online,7"
"Among Us,27.5,All Ages,54.59,Nintendo Switch,No,Game Freak,Innersloth,2023,Adventure,No,6.6,High,Poor,Excellent,""Disappointing game, but the gameplay is amazing."",Offline,7"
"Halo Infinite,34.8,Kids,42.75,Nintendo Switch,No,Bungie,Nintendo,2015,RPG,No,41.9,Low,Poor,Excellent,""Solid game, but the graphics could be better."",Offline,3"
"Super Smash Bros. Ultimate,44.3,All Ages,59.32,PlayStation,No,Nintendo,Square Enix,2010,Party,No,44.5,Medium,Good,Average,""Great game, but too many bugs."",Offline,6"
"1000-Piece Puzzle,28.8,Adults,39.53,PC,No,Bungie,Nintendo,2018,Party,No,33.7,Ultra,Average,Good,""Amazing game, but the gameplay is amazing."",Offline,4"
"Pok̩mon Scarlet & Violet,29.9,Teens,51.73,Xbox,Yes,Innersloth,Activision,2010,Adventure,No,14.2,Low,Average,Excellent,""Solid game, but the graphics could be better."",Online,4"
"Kingdom Hearts III,30.2,All Ages,51.02,Mobile,Yes,Game Freak,Valve,2018,Shooter,Yes,21.8,Medium,Average,Good,""Amazing game, but too many bugs."",Online,6"
"League of Legends,19.1,Teens,23.08,Nintendo Switch,No,Game Freak,Valve,2010,Party,No,28.6,Low,Average,Average,""Solid game, but the gameplay is amazing."",Offline,2"
"Overwatch 2,14.4,Teens,25.33,Xbox,No,EA Sports,Electronic Arts,2016,Strategy,Yes,5.9,Medium,Good,Average,""Disappointing game, but the gameplay is amazing."",Offline,4"
"The Witcher 3: Wild Hunt,30.8,Teens,40.29,Xbox,Yes,CD Projekt Red,Nintendo,2021,Fighting,Yes,32.8,Ultra,Good,Average,""Amazing game, but too many bugs."",Offline,4"
"Fall Guys,17.6,Kids,23.81,PC,Yes,Innersloth,Capcom,2017,Fighting,No,13.0,Low,Good,Average,""Disappointing game, but the gameplay is amazing."",Online,7"
"Super Smash Bros. Ultimate,28.9,All Ages,33.56,PC,Yes,Game Freak,Activision,2019,Puzzle,Yes,38.0,High,Good,Average,""Disappointing game, but the graphics could be better."",Offline,1"
"The Sims 4,30.6,Teens,39.26,PlayStation,No,CD Projekt Red,Innersloth,2018,RPG,Yes,42.0,Medium,Average,Excellent,""Great game, but the graphics could be better."",Online,8"
"Mario Kart 8 Deluxe,39.5,Adults,48.85,PC,Yes,EA Sports,Square Enix,2013,Simulation,Yes,46.8,Low,Good,Average,""Solid game, but the gameplay is amazing."",Offline,3"
"Among Us,39.7,Adults,51.64,Mobile,No,Rockstar Games,Square Enix,2019,Adventure,Yes,42.6,Medium,Good,Excellent,""Great game, but too many bugs."",Offline,8"
"FIFA 24,29.6,Adults,28.04,PC,No,Epic Games,Square Enix,2014,Sports,Yes,46.5,Low,Poor,Poor,""Disappointing game, but the gameplay is amazing."",Online,10"
"FIFA 24,29.9,Kids,48.76,Nintendo Switch,Yes,EA Sports,Innersloth,2022,Action,No,24.3,High,Poor,Poor,""Solid game, but the graphics could be better."",Online,3"
"Mario Kart 8 Deluxe,29.9,Adults,43.8,Mobile,No,EA Sports,Capcom,2023,RPG,No,26.8,Ultra,Good,Excellent,""Amazing game, but the gameplay is amazing."",Online,5"
"Sid Meier�۪s Civilization VI,34.8,Kids,40.85,Mobile,Yes,EA Sports,Nintendo,2020,Puzzle,No,41.9,Low,Poor,Excellent,""Amazing game, but too many bugs."",Offline,8"
"Hades,23.3,Kids,39.48,PlayStation,No,Nintendo,Nintendo,2019,Puzzle,No,13.3,Ultra,Poor,Poor,""Solid game, but too many bugs."",Online,4"
"The Legend of Zelda: Breath of the Wild,29.6,All Ages,44.04,Xbox,No,Valve,Epic Games,2015,Adventure,Yes,25.7,Low,Good,Average,""Amazing game, but the graphics could be better."",Offline,7"
"Halo Infinite,36.6,Adults,55.05,PlayStation,Yes,Epic Games,Activision,2022,Action,No,31.1,Ultra,Poor,Poor,""Solid game, but too many bugs."",Offline,4"
"Tekken 7,34.7,Adults,40.92,PC,Yes,Valve,Square Enix,2019,Adventure,No,43.1,Low,Good,Good,""Disappointing game, but the graphics could be better."",Online,1"
"The Sims 4,41.0,Kids,50.47,Nintendo Switch,No,Bungie,Capcom,2014,Strategy,Yes,49.7,High,Good,Excellent,""Solid game, but the gameplay is amazing."",Offline,7"
"The Legend of Zelda: Breath of the Wild,29.1,Kids,33.71,PlayStation,No,CD Projekt Red,Epic Games,2018,Strategy,No,41.9,Ultra,Average,Poor,""Great game, but the graphics could be better."",Online,4"
"Tekken 7,32.0,Kids,55.83,Mobile,No,Game Freak,Nintendo,2012,Simulation,Yes,9.8,High,Average,Poor,""Solid game, but the graphics could be better."",Online,5"
"Ghost of Tsushima,33.9,Kids,40.54,PlayStation,No,Rockstar Games,Capcom,2019,RPG,Yes,50.9,Medium,Good,Poor,""Disappointing game, but the gameplay is amazing."",Offline,10"
"Fortnite,38.3,Teens,41.73,PC,No,Epic Games,Electronic Arts,2015,Party,No,54.1,High,Average,Poor,""Solid game, but the graphics could be better."",Offline,7"
"Sid Meier�۪s Civilization VI,37.5,Kids,37.8,PC,No,EA Sports,Epic Games,2013,RPG,No,58.7,Ultra,Poor,Poor,""Great game, but too many bugs."",Offline,2"
"League of Legends,28.9,Adults,45.82,Nintendo Switch,Yes,Epic Games,Epic Games,2013,Shooter,No,15.4,Medium,Good,Excellent,""Disappointing game, but too many bugs."",Offline,1"
"Mario Kart 8 Deluxe,22.5,Kids,23.29,PlayStation,No,Valve,Electronic Arts,2015,Shooter,No,38.0,Medium,Poor,Poor,""Solid game, but the graphics could be better."",Offline,1"
"Cuphead,24.6,Kids,32.69,PlayStation,No,Innersloth,Electronic Arts,2023,Shooter,No,28.5,Ultra,Poor,Poor,""Amazing game, but too many bugs."",Offline,7"
"Cuphead,25.0,Kids,30.01,Mobile,No,EA Sports,Valve,2015,Fighting,Yes,38.2,Low,Poor,Poor,""Solid game, but the graphics could be better."",Online,10"
"FIFA 24,34.1,Kids,41.18,PC,No,Innersloth,Square Enix,2018,Sports,Yes,51.0,Low,Average,Average,""Great game, but the graphics could be better."",Online,1"
"Half-Life: Alyx,37.5,Adults,40.63,Xbox,Yes,Innersloth,Electronic Arts,2019,Shooter,No,57.3,Ultra,Poor,Average,""Disappointing game, but too many bugs."",Offline,2"
"Cuphead,31.9,Teens,35.76,PC,Yes,Bungie,Electronic Arts,2012,Puzzle,Yes,50.3,Low,Poor,Excellent,""Disappointing game, but the gameplay is amazing."",Offline,6"
"Red Dead Redemption 2,25.1,Teens,30.83,Nintendo Switch,No,CD Projekt Red,Electronic Arts,2020,Simulation,Yes,28.6,Low,Excellent,Poor,""Great game, but the graphics could be better."",Online,6"
"The Witcher 3: Wild Hunt,28.6,All Ages,40.75,PlayStation,Yes,EA Sports,Activision,2011,Puzzle,No,27.0,Medium,Average,Excellent,""Disappointing game, but the gameplay is amazing."",Offline,6"
"Portal 2,35.7,Adults,38.12,Mobile,No,Bungie,Capcom,2016,Strategy,Yes,55.9,Low,Excellent,Good,""Great game, but the gameplay is amazing."",Offline,5"
"Just Dance 2024,34.7,Kids,45.83,PC,Yes,Epic Games,Capcom,2020,Puzzle,Yes,40.9,Ultra,Excellent,Good,""Solid game, but the graphics could be better."",Online,6"
"Grand Theft Auto V,44.1,Kids,57.59,PlayStation,No,Game Freak,Activision,2011,RPG,No,57.3,Low,Poor,Average,""Solid game, but the gameplay is amazing."",Online,3"
"The Legend of Zelda: Breath of the Wild,32.6,Adults,48.69,Xbox,No,Innersloth,Valve,2017,Simulation,Yes,24.1,Ultra,Excellent,Average,""Great game, but too many bugs."",Online,5"
"League of Legends,32.4,Teens,27.4,Nintendo Switch,No,Nintendo,Take-Two Interactive,2019,Adventure,No,56.3,Low,Poor,Poor,""Solid game, but the graphics could be better."",Offline,7"
"Fortnite,31.1,Adults,40.03,PlayStation,Yes,Bungie,Capcom,2019,Fighting,Yes,31.7,High,Average,Poor,""Great game, but the gameplay is amazing."",Online,2"
"Animal Crossing: New Horizons,33.2,Kids,52.77,Xbox,Yes,Capcom,Square Enix,2020,Sports,No,16.1,Low,Poor,Average,""Great game, but the gameplay is amazing."",Offline,10"
"The Legend of Zelda: Breath of the Wild,17.1,Kids,26.03,PlayStation,No,Rockstar Games,Valve,2017,Adventure,Yes,15.5,Medium,Average,Excellent,""Disappointing game, but the graphics could be better."",Online,7"
"Super Smash Bros. Ultimate,28.4,All Ages,34.56,Xbox,Yes,Valve,Innersloth,2011,Simulation,No,40.7,Medium,Poor,Poor,""Great game, but too many bugs."",Online,8"
"League of Legends,20.2,All Ages,31.09,PC,Yes,Valve,Innersloth,2020,Party,No,11.6,High,Good,Poor,""Solid game, but the graphics could be better."",Online,1"
"Half-Life: Alyx,21.4,Adults,21.57,Xbox,No,Game Freak,Activision,2011,Adventure,No,29.8,High,Good,Poor,""Great game, but too many bugs."",Online,8"
"Half-Life: Alyx,46.1,Kids,56.41,Mobile,No,Epic Games,Electronic Arts,2017,Action,Yes,55.7,Medium,Good,Good,""Solid game, but too many bugs."",Offline,1"
"Minecraft,40.5,All Ages,49.64,Xbox,Yes,Capcom,Epic Games,2010,Simulation,No,51.8,Low,Average,Excellent,""Great game, but the graphics could be better."",Online,5"
"Tomb Raider (2013),13.9,Kids,27.04,Nintendo Switch,No,CD Projekt Red,Electronic Arts,2018,Adventure,Yes,6.8,Low,Good,Poor,""Amazing game, but the gameplay is amazing."",Online,6"
"League of Legends,20.9,All Ages,36.55,Xbox,Yes,Innersloth,Square Enix,2018,Fighting,No,12.7,Ultra,Average,Good,""Great game, but too many bugs."",Offline,1"
"Hades,20.8,Teens,36.65,Nintendo Switch,No,Nintendo,Capcom,2022,Party,Yes,9.0,Low,Excellent,Average,""Great game, but too many bugs."",Offline,5"
"Pok̩mon Scarlet & Violet,22.2,Teens,26.35,PlayStation,Yes,Innersloth,Square Enix,2010,RPG,No,34.5,High,Average,Good,""Amazing game, but the graphics could be better."",Online,4"
"Tetris,18.5,All Ages,33.68,Nintendo Switch,No,Capcom,Valve,2015,Shooter,Yes,9.7,Low,Excellent,Good,""Great game, but the gameplay is amazing."",Online,10"
"The Elder Scrolls V: Skyrim,25.3,Adults,23.24,Mobile,No,CD Projekt Red,Activision,2022,Shooter,Yes,48.1,Ultra,Excellent,Good,""Disappointing game, but too many bugs."",Online,3"
"Hades,38.5,Kids,43.33,Xbox,Yes,Nintendo,Innersloth,2020,Puzzle,Yes,51.5,Medium,Poor,Average,""Amazing game, but the gameplay is amazing."",Online,8"
"Kingdom Hearts III,26.7,All Ages,30.02,PlayStation,No,Innersloth,Nintendo,2010,Party,Yes,43.7,Medium,Poor,Good,""Disappointing game, but the graphics could be better."",Online,2"
"Ghost of Tsushima,34.9,All Ages,30.36,Nintendo Switch,No,Epic Games,Take-Two Interactive,2015,Adventure,Yes,59.3,High,Average,Poor,""Great game, but the gameplay is amazing."",Online,10"
"FIFA 24,34.9,Adults,46.36,Nintendo Switch,Yes,Bungie,Activision,2012,Sports,Yes,41.3,Low,Good,Good,""Solid game, but the gameplay is amazing."",Offline,1"
"Ghost of Tsushima,23.1,Adults,33.54,Mobile,No,Game Freak,Square Enix,2014,Adventure,Yes,23.9,Ultra,Average,Excellent,""Amazing game, but the graphics could be better."",Offline,2"
"Pillars of Eternity II: Deadfire,31.8,All Ages,53.31,Mobile,No,Capcom,Valve,2022,Simulation,No,15.2,High,Poor,Excellent,""Amazing game, but too many bugs."",Online,6"
"Kingdom Hearts III,30.7,Teens,52.02,Nintendo Switch,No,Epic Games,Epic Games,2012,Fighting,Yes,11.0,High,Poor,Good,""Amazing game, but too many bugs."",Offline,4"
"Counter-Strike: Global Offensive,22.6,Kids,25.89,Mobile,Yes,Game Freak,Take-Two Interactive,2019,Simulation,Yes,28.9,High,Poor,Good,""Great game, but too many bugs."",Online,2"
"Mario Kart 8 Deluxe,32.4,Teens,32.89,Xbox,Yes,Game Freak,Nintendo,2023,Adventure,No,52.8,Low,Excellent,Excellent,""Solid game, but too many bugs."",Offline,1"
"Super Mario Odyssey,34.7,All Ages,46.59,PC,No,Game Freak,Valve,2017,Fighting,No,38.0,Ultra,Excellent,Average,""Solid game, but too many bugs."",Online,7"
"The Witcher 3: Wild Hunt,36.3,Adults,49.62,PC,Yes,Game Freak,Innersloth,2021,Party,No,32.1,High,Average,Excellent,""Amazing game, but the graphics could be better."",Offline,1"
"The Elder Scrolls V: Skyrim,37.7,All Ages,58.56,PlayStation,Yes,CD Projekt Red,Electronic Arts,2018,Adventure,Yes,31.8,High,Excellent,Poor,""Solid game, but too many bugs."",Offline,3"
"League of Legends,32.4,Teens,55.08,PC,Yes,CD Projekt Red,Innersloth,2023,Sports,Yes,19.6,Low,Good,Poor,""Disappointing game, but too many bugs."",Offline,1"
"Half-Life: Alyx,36.7,Adults,41.67,Mobile,No,CD Projekt Red,Innersloth,2023,Adventure,Yes,53.7,Ultra,Average,Good,""Amazing game, but the gameplay is amazing."",Offline,10"
"Spelunky 2,23.3,Kids,25.5,PlayStation,Yes,Capcom,Square Enix,2019,Fighting,Yes,38.7,Low,Average,Poor,""Amazing game, but the graphics could be better."",Online,8"
"Red Dead Redemption 2,26.6,Kids,35.69,PlayStation,No,Rockstar Games,Capcom,2012,Party,No,30.4,Ultra,Excellent,Good,""Great game, but the gameplay is amazing."",Offline,6"
"1000-Piece Puzzle,46.0,Teens,58.75,PlayStation,No,CD Projekt Red,Innersloth,2019,Strategy,No,50.1,High,Excellent,Excellent,""Amazing game, but the gameplay is amazing."",Online,2"
"Counter-Strike: Global Offensive,20.7,Kids,30.91,PlayStation,No,Game Freak,Capcom,2022,RPG,Yes,20.2,High,Average,Average,""Great game, but too many bugs."",Online,7"
"Animal Crossing: New Horizons,36.4,Adults,45.34,Nintendo Switch,Yes,Innersloth,Electronic Arts,2020,Party,Yes,43.7,Medium,Excellent,Average,""Solid game, but the gameplay is amazing."",Online,7"
"FIFA 24,28.7,Kids,34.04,PC,No,Innersloth,Capcom,2016,Action,No,36.3,Low,Good,Average,""Solid game, but too many bugs."",Online,4"
"1000-Piece Puzzle,25.2,All Ages,42.13,Mobile,Yes,Capcom,Valve,2016,RPG,No,8.8,Ultra,Poor,Excellent,""Amazing game, but the gameplay is amazing."",Online,4"
"Fortnite,21.6,Kids,40.71,PlayStation,No,Bungie,Valve,2016,Fighting,Yes,9.7,High,Excellent,Excellent,""Solid game, but the graphics could be better."",Online,6"
"Pillars of Eternity II: Deadfire,25.3,Kids,39.72,PC,No,Rockstar Games,Electronic Arts,2015,Party,No,18.5,Medium,Good,Poor,""Solid game, but too many bugs."",Online,8"
"Tekken 7,44.4,All Ages,57.16,Nintendo Switch,Yes,Rockstar Games,Valve,2019,Strategy,No,56.0,Ultra,Poor,Good,""Solid game, but the graphics could be better."",Offline,6"
"Minecraft,15.7,All Ages,26.36,PlayStation,Yes,Game Freak,Valve,2013,Fighting,Yes,14.1,Low,Good,Excellent,""Amazing game, but the gameplay is amazing."",Offline,8"
"Halo Infinite,22.8,Adults,20.09,Mobile,Yes,Capcom,Nintendo,2020,Sports,Yes,36.3,High,Good,Average,""Amazing game, but the graphics could be better."",Offline,4"
"The Legend of Zelda: Breath of the Wild,30.6,All Ages,22.76,PlayStation,No,Bungie,Nintendo,2014,Strategy,No,58.5,Ultra,Good,Excellent,""Amazing game, but the gameplay is amazing."",Online,2"
"Grand Theft Auto V,37.4,Teens,41.74,PlayStation,Yes,Valve,Take-Two Interactive,2014,Action,No,59.3,Low,Poor,Excellent,""Solid game, but the gameplay is amazing."",Online,4"
"Just Dance 2024,18.6,Adults,27.5,Mobile,Yes,Game Freak,Square Enix,2018,Simulation,Yes,18.8,High,Excellent,Excellent,""Amazing game, but the graphics could be better."",Offline,5"
"Fall Guys,44.5,Kids,59.38,Xbox,Yes,Valve,Innersloth,2019,Puzzle,Yes,54.0,Ultra,Good,Poor,""Solid game, but the gameplay is amazing."",Online,8"
"Overwatch 2,29.1,Teens,43.67,Xbox,Yes,Bungie,Epic Games,2017,RPG,No,30.6,Low,Good,Good,""Amazing game, but the gameplay is amazing."",Online,3"
"Bioshock Infinite,24.9,All Ages,24.22,PC,No,Game Freak,Electronic Arts,2019,Strategy,No,44.7,Medium,Good,Good,""Solid game, but the graphics could be better."",Offline,5"
"Cuphead,24.4,Teens,34.76,Nintendo Switch,Yes,Capcom,Valve,2011,RPG,No,19.3,Ultra,Poor,Poor,""Amazing game, but the graphics could be better."",Offline,2"
"Fortnite,36.9,Adults,47.1,Mobile,Yes,Bungie,Activision,2017,Shooter,Yes,38.3,Ultra,Average,Average,""Amazing game, but too many bugs."",Online,3"
"Tetris,36.0,Teens,41.71,Mobile,No,Capcom,Valve,2023,Fighting,No,54.0,Low,Average,Excellent,""Disappointing game, but the gameplay is amazing."",Online,7"
"Pok̩mon Scarlet & Violet,11.3,Kids,22.13,Nintendo Switch,No,Bungie,Valve,2021,RPG,No,6.6,Medium,Good,Average,""Great game, but the graphics could be better."",Offline,5"
"The Sims 4,28.7,Adults,55.7,PlayStation,Yes,Game Freak,Take-Two Interactive,2016,Strategy,No,6.8,Low,Excellent,Average,""Amazing game, but too many bugs."",Online,3"
"Portal 2,33.4,Teens,41.42,PC,No,EA Sports,Valve,2011,Party,Yes,36.1,Ultra,Good,Good,""Solid game, but the graphics could be better."",Offline,10"
"Red Dead Redemption 2,30.0,Adults,46.11,Mobile,No,Nintendo,Epic Games,2011,Simulation,Yes,23.7,Ultra,Average,Average,""Amazing game, but too many bugs."",Online,3"
"Just Dance 2024,19.6,Teens,23.8,Xbox,Yes,Game Freak,Square Enix,2013,Adventure,Yes,29.2,Low,Average,Excellent,""Amazing game, but too many bugs."",Online,8"
"Pok̩mon Scarlet & Violet,26.2,All Ages,34.03,PC,Yes,Game Freak,Square Enix,2023,Action,No,31.1,Low,Good,Average,""Great game, but too many bugs."",Offline,4"
"League of Legends,41.7,All Ages,50.29,PlayStation,No,Valve,Valve,2019,Simulation,No,50.7,High,Average,Average,""Amazing game, but the gameplay is amazing."",Online,1"
