,Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players
128,Fortnite,21.6,Kids,40.71,PlayStation,No,Bungie,Valve,2016,Fighting,Yes,9.7,High,Excellent,Excellent,"Solid game, but the graphics could be better.",Online,6
129,Pillars of Eternity II: Deadfire,25.3,Kids,39.72,PC,No,Rockstar Games,Electronic Arts,2015,Party,No,18.5,Medium,Good,Poor,"Solid game, but too many bugs.",Online,8
130,Tekken 7,44.4,All Ages,57.16,Nintendo Switch,Yes,Rockstar Games,Valve,2019,Strategy,No,56.0,Ultra,Poor,Good,"Solid game, but the graphics could be better.",Offline,6
131,Minecraft,15.7,All Ages,26.36,PlayStation,Yes,Game Freak,Valve,2013,Fighting,Yes,14.1,Low,Good,Excellent,"Amazing game, but the gameplay is amazing.",Offline,8
132,Halo Infinite,22.8,Adults,20.09,Mobile,Yes,Capcom,Nintendo,2020,Sports,Yes,36.3,High,Good,Average,"Amazing game, but the graphics could be better.",Offline,4
133,The Legend of Zelda: Breath of the Wild,30.6,All Ages,22.76,PlayStation,No,Bungie,Nintendo,2014,Strategy,No,58.5,Ultra,Good,Excellent,"Amazing game, but the gameplay is amazing.",Online,2
134,Grand Theft Auto V,37.4,Teens,41.74,PlayStation,Yes,Valve,Take-Two Interactive,2014,Action,No,59.3,Low,Poor,Excellent,"Solid game, but the gameplay is amazing.",Online,4
135,Just Dance 2024,18.6,Adults,27.5,Mobile,Yes,Game Freak,Square Enix,2018,Simulation,Yes,18.8,High,Excellent,Excellent,"Amazing game, but the graphics could be better.",Offline,5
136,Fall Guys,44.5,Kids,59.38,Xbox,Yes,Valve,Innersloth,2019,Puzzle,Yes,54.0,Ultra,Good,Poor,"Solid game, but the gameplay is amazing.",Online,8
137,Overwatch 2,29.1,Teens,43.67,Xbox,Yes,Bungie,Epic Games,2017,RPG,No,30.6,Low,Good,Good,"Amazing game, but the gameplay is amazing.",Online,3
138,Bioshock Infinite,24.9,All Ages,24.22,PC,No,Game Freak,Electronic Arts,2019,Strategy,No,44.7,Medium,Good,Good,"Solid game, but the graphics could be better.",Offline,5
139,Cuphead,24.4,Teens,34.76,Nintendo Switch,Yes,Capcom,Valve,2011,RPG,No,19.3,Ultra,Poor,Poor,"Amazing game, but the graphics could be better.",Offline,2
140,Fortnite,36.9,Adults,47.1,Mobile,Yes,Bungie,Activision,2017,Shooter,Yes,38.3,Ultra,Average,Average,"Amazing game, but too many bugs.",Online,3
141,Tetris,36.0,Teens,41.71,Mobile,No,Capcom,Valve,2023,Fighting,No,54.0,Low,Average,Excellent,"Disappointing game, but the gameplay is amazing.",Online,7
142,Pokémon Scarlet & Violet,11.3,Kids,22.13,Nintendo Switch,No,Bungie,Valve,2021,RPG,No,6.6,Medium,Good,Average,"Great game, but the graphics could be better.",Offline,5
143,The Sims 4,28.7,Adults,55.7,PlayStation,Yes,Game Freak,Take-Two Interactive,2016,Strategy,No,6.8,Low,Excellent,Average,"Amazing game, but too many bugs.",Online,3
144,Portal 2,33.4,Teens,41.42,PC,No,EA Sports,Valve,2011,Party,Yes,36.1,Ultra,Good,Good,"Solid game, but the graphics could be better.",Offline,10
145,Red Dead Redemption 2,30.0,Adults,46.11,Mobile,No,Nintendo,Epic Games,2011,Simulation,Yes,23.7,Ultra,Average,Average,"Amazing game, but too many bugs.",Online,3
146,Just Dance 2024,19.6,Teens,23.8,Xbox,Yes,Game Freak,Square Enix,2013,Adventure,Yes,29.2,Low,Average,Excellent,"Amazing game, but too many bugs.",Online,8
147,Pokémon Scarlet & Violet,26.2,All Ages,34.03,PC,Yes,Game Freak,Square Enix,2023,Action,No,31.1,Low,Good,Average,"Great game, but too many bugs.",Offline,4
148,League of Legends,41.7,All Ages,50.29,PlayStation,No,Valve,Valve,2019,Simulation,No,50.7,High,Average,Average,"Amazing game, but the gameplay is amazing.",Online,1
